0.280186,4294967295
12.6658,619000
14.1058,77000
16.6018,69000
23.7698,72000
24.2498,29000
25.6738,27000
30.5058,29000
38.1858,31000
43.3218,33000
54.0898,75000
58.4258,74000
58.9538,31000
66.5858,51000
67.0018,26000
67.7218,23000
76.3138,56000
95.5458,124000
96.8258,69000
97.3378,30000
97.8658,24000
101.642,20000
108.394,37000
110.186,35000
111.882,33000
117.786,38000
123.018,39000
128.642,41000
133.89,42000
135.874,39000
141.522,41000
150.482,34000
152.642,33000
154.402,31000
154.578,13000
163.874,60000
166.274,56000
176.178,80000
177.058,48000
179.362,46000
180.098,37000
188.338,58000
191.986,57000
198.29,59000
203.634,11000
211.458,12000
219.762,19000
221.698,16000
226.674,20000
226.946,16000
227.234,13000
234.962,47000
237.842,46000
250.914,93000
251.138,16000
256.13,20000
262.674,35000
268.37,38000
274.738,43000
276.066,38000
276.514,27000
284.306,31000
297.634,89000
299.73,75000
300.274,32000
305.314,34000
305.506,14000
310.866,22000
320.162,43000
321.762,39000
324.914,31000
325.666,26000
327.026,24000
327.474,19000
333.522,23000
343.49,28000
354.706,76000
365.234,75000
367.682,68000
370.562,64000
376.53,65000
379.858,63000
390.498,88000
403.682,89000
404.042,22000
414.266,67000
416.074,57000
419.034,55000
424.602,56000
425.402,44000
427.706,43000
429.018,38000
444.538,102000
451.994,103000
455.386,94000
466.522,111000
472.778,110000
474.202,75000
474.906,40000
480.458,35000
480.65,15000
489.226,44000
491.45,43000
497.386,45000
502.41,39000
510.186,55000
511.722,47000
512.778,39000
513.418,31000
520.058,41000
520.746,32000
526.266,35000
535.898,68000
538.33,63000
545.738,68000
547.37,57000
547.658,19000
548.714,18000
551.09,112000
551.788,20000
552.17,17000
563.258,73000
574.538,98000
594.218,147000
